,Title,Keywords,Topics,High-Level Keyword(s),Abstract
0,The cascade auction – a mechanism for deterring collusion in auctions,mediators auctions collusion ad exchanges,"Auctions and Market-Based Systems
E-Commerce
Game Theory
Mechanism Design",Multiagent Systems,"we introduce a sealed bid auction of a single item in which the winner is chosen at random among the highest k bidders according to a fixed probability distribution, and the price for the chosen winner is the vickrey-clarke-groves price. we call such an auction a cascade auction. our analysis suggests that this type of auction may give higher revenues compared to second price auction in cases of collusion."
1,Basis Adaptation for Sparse Nonlinear Reinforcement Learning,reinforcement learning sparsity mirror descent online learning markov decision processes,"Dimension Reduction/Feature Selection
Online Learning
Reinforcement Learning
Sequential Decision Making","Machine Learning
Reasoning under Uncertainty","this paper presents a new approach to basis adaptation in reinforcement learning (rl) using the recently proposed { mirror-descent} framework. mirror descent can be viewed as an enhanced gradient method, particularly suited to minimization of convex functions in high-dimensional spaces. unlike traditional gradient methods, mirror descent undertakes gradient updates of weights in both the dual space and primal space, which are linked together using a legendre transform. mirror descent can be viewed as a proximal algorithm where the distance generating function used is a bregman divergence. we introduce a general framework for nonlinear separable value function approximation based on finding frechet gradients of an error function based on variable projection functionals. we then show how to combine basis adaptation methods with proximal-gradient based temporal-difference (td) methods and present a new class of regularized td methods, which combine feature selection through sparse $l_1$ regularization and basis adaptation. experimental results are provided to illustrate and validate the approach."
2,Optimal Coalition Structures in Cooperative Graph Games,cooperative game theory coalition structure generation optimal coalition structure deng and papadimitriou's cooperative graph game planar graphs minor free graphs,"Coordination and Collaboration
Game Theory",Multiagent Systems,"representation languages for coalitional games are a key research area in algorithmic game theory. there is an inherent tradeoff between how general a language is, allowing it to capture more elaborate games, and how hard it is computationally to optimize and solve such games. one prominent such language is the simple yet expressive weighted graph games (wggs) representation (deng and papadimitriou, 1994), which maintains knowledge about synergies between agents in the form of an edge weighted graph. we consider the problem of finding the optimal coalition structure in wggs. the agents in such games are vertices in a graph, and the value of a coalition is the sum of the weights of the edges present between coalition members. the optimal coalition structure is a partition of the agents to coalitions, that maximizes the sum of utilities obtained by the coalitions. we show that finding the optimal coalition structure is not only hard for general graphs, but is also intractable for restricted families such as planar graphs which are amenable for many other combinatorial problems. we then provide algorithms with constant factor approximations for planar, minor-free and bounded degree graphs."
3,External Memory Best-First Search for Multiple Sequence Alignment,external-memory search parallel search multiple sequence alignment dynamic programming,"Heuristic Search
Evaluation and Analysis (Search and Optimization)
Search (General/Other)",Heuristic Search and Optimization,"multiple sequence alignment (msa) is a central problem in computational biology. it is well known that msa can be formulated as a shortest path problem and solved using heuristic search, but the memory requirement of a* makes it impractical for all but the smallest problems. partial expansion a* (pea*) reduces the space complexity of a* by generating only the most promising successor nodes. however, even pea* exhausts available memory on many problems. another alternative is iterative deepening dynamic programming, which uses an uninformed search order but stores only the nodes along the search frontier. however, it too cannot scale to the largest problems. in this paper, we propose storing nodes on cheap and plentiful secondary storage. we present a new general-purpose algorithm, parallel external pea* (pe2a*), that combines pea* with delayed duplicate detection to take advantage of external memory and multiple processors to solve large msa problems. in our experiments, pe2a* is the first algorithm capable of solving the entire reference set 1 of the standard balibase benchmark using a biologically accurate cost function. this work suggests that external best-first search can effectively use heuristic information to surpass methods that rely on predefined search orders."
4,Posted Prices Exchange for Display Advertising Contracts,display advertising dynamic pricing market equilibrium,"Auctions and Market-Based Systems
E-Commerce
Mechanism Design",Multiagent Systems,"we propose a new market design for display advertising contracts, based on posted prices. this requires overcoming major challenges: (i) the space of possible impression types is exponential in the number of attributes, which is typically large; therefore a complete price space cannot be maintained; (ii) the level of detail with which supply and demand are specified are often not identical, (iii) advertisers are usually unable to provide extensive demand (willingness-to-pay) functions."
5,Gradient Networks for Shape-Based Object Instance Detection,object detection instance detection shape gradient networks,"Vision, Object Recognition, and Perception",Robotics,"we present a novel framework for shape-based template matching in images. while previous approaches required brittle contour extraction, considered only local information, or used coarse statistics, we propose to match the shape explicitly on low-level gradients by formulating the problem as traversing paths in a gradient network. we evaluate our algorithm on a challenging dataset of objects in cluttered environments and demonstrate significant improvement over state-of-the-art methods for shape matching and object detection."
6,Unified Constraint Propagation on Multi-View Data,pairwise constraint propagation semi-supervised learning multi-view data,"Relational/Graph-Based Learning
Semisupervised Learning",Machine Learning,"this paper presents a unified framework for intra-view and inter-view constraint propagation on multi-view data from a semi-supervised learning viewpoint. in the literature, pairwise constraint propagation has been studied extensively, where each pairwise constraint is defined over a pair of data points from a single view. in contrast, very little attention has been paid to inter-view constraint propagation, which is more challenging since each pairwise constraint is now defined over a pair of data points from different views. although both intra-view and inter-view constraint propagation are crucial for multi-view tasks, most previous methods cannot handle them simultaneously. to address this challenging issue, we propose to decompose these two types of constraint propagation into semi-supervised learning subproblems so that they can be uniformly solved based on the traditional label propagation techniques. to further integrate them into a unified framework, we utilize the results of intra-view constraint propagation to adjust the similarity matrix of each view and then perform inter-view constraint propagation with the adjusted similarity matrices. the experimental results in cross-view retrieval have demonstrated the superior performance of our unified constraint propagation."
7,Progression of Decomposed Situation Calculus Theories,reasoning about actions decomposition of logical theories situation calculus basic action theory progression forgetting decomposability inseparability,"Action, Change, and Causality",Knowledge Representation and Reasoning,"in many tasks related to reasoning about consequences of a logical theory, it is desirable to decompose the theory into a number of components with weakly-related or independent signatures. this facilitates reasoning when signature of a query formula belongs to only one of the components. however, a theory may be subject to change due to execution of actions affecting features mentioned in the theory. having once computed a decomposition of a theory, one would like to know whether a decomposition has to be computed again in the theory obtained from taking into account all changes resulting from execution of an action. in the paper, we address this problem in the scope of the situation calculus, where change of an initial theory is related to the well-studied notion of progression. progression provides a form of forward reasoning; it relies on forgetting values of those features which are subject to change and computing new values for them. we prove new results about properties of decomposition components under forgetting and show when a decomposition can be preserved in progression of an initial situation calculus theory."
8,How to Cut a Cake Before the Party Ends,cake cutting fair division computational social choice,"Mechanism Design
Social Choice / Voting",Multiagent Systems,"for decades researchers have struggled with the problem of envy-free cake cutting: how to divide a divisible good between multiple agents so that each agent likes his own allocation best. although an envy-free cake cutting protocol was ultimately devised, it is unbounded, in the sense that the number of operations can be arbitrarily large, depending on the preferences of the agents. we ask whether bounded protocols exist when the agents' preferences are restricted. our main result is an envy-free cake cutting protocol for agents with piecewise linear valuations, which requires a number of operations that is polynomial in natural parameters of the given instance."
9,Reciprocal Hash Tables for Nearest Neighbor Search,locality sensitive hashing nearest neighbor search hash table construction reciprocal hash tables,"Search (General/Other)
Information Retrieval
Machine Learning (General/other)","Heuristic Search and Optimization
Knowledge-Based Systems
Machine Learning","recent years have witnessed the success of hashing techniques in approximate nearest neighbor search. in practice, multiple hash tables are usually employed to retrieve more desired results from all hit buckets of each table. however, there are rare works studying the unified approach to constructing multiple informative hash tables except the widely used random way. in this paper, we regard the table construction as a selection problem over a set of candidate hash functions. with the graph representation of the function set, we propose an efficient solution that sequentially applies normalized dominant set to finding the most informative and independent hash functions for each table. to further reduce the redundancy between tables, we explore the reciprocal hash tables in a boosting manner, where the hash function graph is updated with high weights emphasized on the misclassified neighbor pairs of previous hash tables. the construction method is general and compatible with different types of hashing algorithms using different feature spaces and/or parameter settings. extensive experiments on two large-scale benchmarks demonstrate that the proposed method outperforms both naive construction method and state-of-the-art hashing algorithms, with up to 65.93% accuracy gains."
